dataset,kernel_id,execution_time
add20,1,0.079772
add20,2,1.268262
add20,3,0.830771
add20,4,0.807070
add20,5,1.514428
add20,6,0.222885
add20,7,0.091292
add20,8,1.715994
add20,9,0.990505
add20,10,1.499518
add20,11,1.895048
add20,12,2.291647
add20,13,1.635901
add20,14,0.631696
add20,15,1.010536
add20,16,1.400845
add20,17,1.051106
add20,18,1.423436
add20,19,1.343964
add20,20,1.777555
add20,21,1.837357
add20,22,1.136069
add20,23,1.290762
add20,24,1.714193
add20,25,1.146698
add20,26,1.663223
add20,27,2.710489
add20,28,2.154344
add20,29,1.758755
add20,30,1.162959
add20,31,1.937619
add20,0,0.075012
add20,1,0.063791
add20,2,1.255018
add20,3,0.808068
add20,4,0.809808
add20,5,1.527944
add20,6,0.096482
add20,7,0.093622
add20,8,0.638804
add20,9,1.508114
add20,10,1.535733
add20,11,1.931603
add20,12,1.953143
add20,13,2.257150
add20,14,0.619084
add20,15,0.997042
add20,16,0.897750
add20,17,1.630396
add20,18,1.586174
add20,19,2.434214
add20,20,1.786199
add20,21,1.841011
add20,22,0.690805
add20,23,1.268658
add20,24,1.283188
add20,25,1.813730
add20,26,1.524913
add20,27,2.463674
add20,28,2.047955
add20,29,2.846322
add20,30,1.168646
add20,31,1.882322
bcsstk13,1,0.108062
bcsstk13,2,0.468512
bcsstk13,3,0.388040
bcsstk13,4,0.400080
bcsstk13,5,0.562084
bcsstk13,6,0.139223
bcsstk13,7,0.131903
bcsstk13,8,0.304298
bcsstk13,9,0.379299
bcsstk13,10,0.552314
bcsstk13,11,0.578495
bcsstk13,12,1.431106
bcsstk13,13,0.632286
bcsstk13,14,0.284797
bcsstk13,15,0.464462
bcsstk13,16,0.855431
bcsstk13,17,0.413990
bcsstk13,18,0.652376
bcsstk13,19,0.612235
bcsstk13,20,0.704008
bcsstk13,21,0.828801
bcsstk13,22,0.476882
bcsstk13,23,1.257692
bcsstk13,24,0.611465
bcsstk13,25,0.495402
bcsstk13,26,0.666127
bcsstk13,27,1.041636
bcsstk13,28,0.856662
bcsstk13,29,0.765059
bcsstk13,30,0.490493
bcsstk13,31,0.497773
bcsstk13,0,0.096152
bcsstk13,1,0.089842
bcsstk13,2,0.378700
bcsstk13,3,0.318748
bcsstk13,4,0.312408
bcsstk13,5,0.457181
bcsstk13,6,0.100292
bcsstk13,7,0.092552
bcsstk13,8,0.226976
bcsstk13,9,0.288717
bcsstk13,10,0.436811
bcsstk13,11,0.452762
bcsstk13,12,1.238182
bcsstk13,13,1.045297
bcsstk13,14,0.272527
bcsstk13,15,0.311508
bcsstk13,16,0.258557
bcsstk13,17,0.336709
bcsstk13,18,0.473622
bcsstk13,19,0.490572
bcsstk13,20,0.556384
bcsstk13,21,0.550724
bcsstk13,22,0.262227
bcsstk13,23,0.344089
bcsstk13,24,0.433071
bcsstk13,25,0.391300
bcsstk13,26,0.522364
bcsstk13,27,0.611585
bcsstk13,28,1.208470
bcsstk13,29,0.616605
bcsstk13,30,0.394500
bcsstk13,31,0.396860
bcsstk13,0,0.113753
bcsstk13,1,0.105852
bcsstk13,2,1.002912
bcsstk13,3,0.909850
bcsstk13,4,0.381349
bcsstk13,5,0.559323
bcsstk13,6,0.109632
bcsstk13,7,0.103802
bcsstk13,8,0.273116
bcsstk13,9,0.351858
bcsstk13,10,0.523621
bcsstk13,11,0.568223
bcsstk13,12,0.634954
bcsstk13,13,0.628914
bcsstk13,14,0.278596
bcsstk13,15,0.354728
bcsstk13,16,0.322807
bcsstk13,17,0.424930
bcsstk13,18,0.675565
bcsstk13,19,0.686505
bcsstk13,20,0.711726
bcsstk13,21,0.717336
bcsstk13,22,1.390190
bcsstk13,23,0.456870
bcsstk13,24,0.603554
bcsstk13,25,0.479010
bcsstk13,26,0.660245
bcsstk13,27,0.761067
bcsstk13,28,0.771167
bcsstk13,29,0.951951
bcsstk13,30,0.518031
bcsstk13,31,0.517172
ca-GrQc,1,0.136113
ca-GrQc,2,1.387394
ca-GrQc,3,0.896823
ca-GrQc,4,2.053902
ca-GrQc,5,1.688373
ca-GrQc,6,0.632786
ca-GrQc,7,0.120443
ca-GrQc,8,0.662637
ca-GrQc,9,0.987974
ca-GrQc,10,1.612101
ca-GrQc,11,1.907988
ca-GrQc,12,1.814706
ca-GrQc,13,1.793045
ca-GrQc,14,1.177429
ca-GrQc,15,0.995945
ca-GrQc,16,1.221971
ca-GrQc,17,1.094907
ca-GrQc,18,1.674792
ca-GrQc,19,2.145214
ca-GrQc,20,1.765905
ca-GrQc,21,1.936139
ca-GrQc,22,0.685577
ca-GrQc,23,1.108668
ca-GrQc,24,1.371334
ca-GrQc,25,1.731384
ca-GrQc,26,1.634382
ca-GrQc,27,2.472482
ca-GrQc,28,2.033822
ca-GrQc,29,2.010321
ca-GrQc,30,1.985410
ca-GrQc,31,1.426676
ca-GrQc,0,0.123123
ca-GrQc,1,0.121963
ca-GrQc,2,1.278228
ca-GrQc,3,0.816288
ca-GrQc,4,0.847118
ca-GrQc,5,1.550205
ca-GrQc,6,0.146053
ca-GrQc,7,0.127803
ca-GrQc,8,1.753139
ca-GrQc,9,1.525563
ca-GrQc,10,1.625175
ca-GrQc,11,1.351730
ca-GrQc,12,1.676537
ca-GrQc,13,1.898351
ca-GrQc,14,1.752908
ca-GrQc,15,1.243798
ca-GrQc,16,0.684645
ca-GrQc,17,1.102424
ca-GrQc,18,1.508353
ca-GrQc,19,1.575745
ca-GrQc,20,2.879573
ca-GrQc,21,1.757209
ca-GrQc,22,0.689446
ca-GrQc,23,1.111544
ca-GrQc,24,1.429751
ca-GrQc,25,2.272710
ca-GrQc,26,1.854201
ca-GrQc,27,1.906372
ca-GrQc,28,2.113007
ca-GrQc,29,2.978346
ca-GrQc,30,1.478693
ca-GrQc,31,1.255188
caidaRouterLevel,1,3.750006
caidaRouterLevel,2,7.603442
caidaRouterLevel,3,5.994732
caidaRouterLevel,4,6.383280
caidaRouterLevel,5,8.910085
caidaRouterLevel,6,3.832047
caidaRouterLevel,7,3.726374
caidaRouterLevel,8,5.169581
caidaRouterLevel,9,6.556855
caidaRouterLevel,10,6.300368
caidaRouterLevel,11,7.041587
caidaRouterLevel,12,7.617753
caidaRouterLevel,13,8.060324
caidaRouterLevel,14,5.578760
caidaRouterLevel,15,6.457062
caidaRouterLevel,16,4.927785
caidaRouterLevel,17,5.296514
caidaRouterLevel,18,7.298894
caidaRouterLevel,19,7.786728
caidaRouterLevel,20,8.631039
caidaRouterLevel,21,9.385587
caidaRouterLevel,22,5.089100
caidaRouterLevel,23,5.402827
caidaRouterLevel,24,5.677825
caidaRouterLevel,25,5.800236
caidaRouterLevel,26,7.178822
caidaRouterLevel,27,7.828588
caidaRouterLevel,28,7.202571
caidaRouterLevel,29,8.965968
caidaRouterLevel,30,5.614792
caidaRouterLevel,31,6.477353
caidaRouterLevel,0,3.549127
caidaRouterLevel,1,6.008733
caidaRouterLevel,2,6.916942
caidaRouterLevel,3,5.758247
caidaRouterLevel,4,7.520536
caidaRouterLevel,5,8.468436
caidaRouterLevel,6,5.030921
caidaRouterLevel,7,3.785253
caidaRouterLevel,8,4.634133
caidaRouterLevel,9,6.484223
caidaRouterLevel,10,9.461289
caidaRouterLevel,11,7.183339
caidaRouterLevel,12,8.884195
caidaRouterLevel,13,9.319695
caidaRouterLevel,14,4.531279
caidaRouterLevel,15,6.328291
caidaRouterLevel,16,5.083572
caidaRouterLevel,17,5.128934
caidaRouterLevel,18,6.839151
caidaRouterLevel,19,7.679990
caidaRouterLevel,20,8.753713
caidaRouterLevel,21,8.601270
caidaRouterLevel,22,5.394670
caidaRouterLevel,23,5.988082
caidaRouterLevel,24,4.975859
caidaRouterLevel,25,6.368111
caidaRouterLevel,26,7.759942
caidaRouterLevel,27,7.816511
caidaRouterLevel,28,8.699583
caidaRouterLevel,29,9.782256
caidaRouterLevel,30,5.942741
caidaRouterLevel,31,5.744427
delaunay_n10,1,0.071542
delaunay_n10,2,0.836641
delaunay_n10,3,0.503192
delaunay_n10,4,0.496132
delaunay_n10,5,0.976685
delaunay_n10,6,0.063382
delaunay_n10,7,0.052602
delaunay_n10,8,0.392030
delaunay_n10,9,0.727119
delaunay_n10,10,1.972419
delaunay_n10,11,0.836691
delaunay_n10,12,1.195620
delaunay_n10,13,1.586760
delaunay_n10,14,0.394670
delaunay_n10,15,0.604795
delaunay_n10,16,0.407160
delaunay_n10,17,0.655656
delaunay_n10,18,1.090167
delaunay_n10,19,1.479377
delaunay_n10,20,1.105899
delaunay_n10,21,1.284453
delaunay_n10,22,0.899113
delaunay_n10,23,0.658577
delaunay_n10,24,0.744119
delaunay_n10,25,0.736718
delaunay_n10,26,1.035016
delaunay_n10,27,1.746924
delaunay_n10,28,1.192860
delaunay_n10,29,1.346515
delaunay_n10,30,1.251312
delaunay_n10,31,0.744019
delaunay_n10,0,0.058541
delaunay_n10,1,0.050091
delaunay_n10,2,0.807828
delaunay_n10,3,0.490851
delaunay_n10,4,0.490751
delaunay_n10,5,0.967672
delaunay_n10,6,0.067792
delaunay_n10,7,0.060501
delaunay_n10,8,0.434349
delaunay_n10,9,1.545263
delaunay_n10,10,0.898920
delaunay_n10,11,0.834298
delaunay_n10,12,1.048473
delaunay_n10,13,1.195897
delaunay_n10,14,0.914571
delaunay_n10,15,0.770447
delaunay_n10,16,0.902530
delaunay_n10,17,0.659325
delaunay_n10,18,0.947941
delaunay_n10,19,0.859559
delaunay_n10,20,1.103484
delaunay_n10,21,1.101804
delaunay_n10,22,0.413269
delaunay_n10,23,0.700395
delaunay_n10,24,0.792798
delaunay_n10,25,0.796798
delaunay_n10,26,1.974264
delaunay_n10,27,1.332859
delaunay_n10,28,1.180056
delaunay_n10,29,1.182296
delaunay_n10,30,0.985421
delaunay_n10,31,1.325189
email-Enron,1,0.625466
email-Enron,2,2.841971
email-Enron,3,1.919619
email-Enron,4,1.878358
email-Enron,5,3.575340
email-Enron,6,1.202570
email-Enron,7,0.662717
email-Enron,8,1.532129
email-Enron,9,2.389249
email-Enron,10,2.987036
email-Enron,11,2.719328
email-Enron,12,3.966751
email-Enron,13,4.112803
email-Enron,14,1.538699
email-Enron,15,2.664257
email-Enron,16,1.815615
email-Enron,17,2.050732
email-Enron,18,3.415556
email-Enron,19,2.942484
email-Enron,20,3.445087
email-Enron,21,4.308729
email-Enron,22,1.686842
email-Enron,23,2.753289
email-Enron,24,2.246447
email-Enron,25,2.658637
email-Enron,26,3.877329
email-Enron,27,3.647032
email-Enron,28,3.539130
email-Enron,29,4.384291
email-Enron,30,2.474823
email-Enron,31,2.671937
email-Enron,0,0.673125
email-Enron,1,0.617843
email-Enron,2,4.653224
email-Enron,3,1.975903
email-Enron,4,1.771160
email-Enron,5,4.219054
email-Enron,6,1.175136
email-Enron,7,0.659564
email-Enron,8,1.423352
email-Enron,9,1.910362
email-Enron,10,3.926397
email-Enron,11,2.565537
email-Enron,12,3.722192
email-Enron,13,5.083352
email-Enron,14,1.457312
email-Enron,15,2.710719
email-Enron,16,1.521784
email-Enron,17,2.925394
email-Enron,18,3.041667
email-Enron,19,4.061660
email-Enron,20,3.189831
email-Enron,21,4.780617
email-Enron,22,1.716938
email-Enron,23,2.058765
email-Enron,24,2.903325
email-Enron,25,2.782851
email-Enron,26,3.021917
email-Enron,27,4.522050
email-Enron,28,3.301073
email-Enron,29,3.896426
email-Enron,30,3.466016
email-Enron,31,2.488275
Erdos971,1,0.072452
Erdos971,2,0.400810
Erdos971,3,0.252747
Erdos971,4,0.245996
Erdos971,5,0.477102
Erdos971,6,0.077552
Erdos971,7,0.067421
Erdos971,8,0.219785
Erdos971,9,0.314468
Erdos971,10,0.441222
Erdos971,11,0.409911
Erdos971,12,0.628896
Erdos971,13,1.027157
Erdos971,14,0.219175
Erdos971,15,0.315518
Erdos971,16,0.225245
Erdos971,17,0.469011
Erdos971,18,1.005176
Erdos971,19,0.417660
Erdos971,20,0.534973
Erdos971,21,0.664667
Erdos971,22,0.901213
Erdos971,23,0.344338
Erdos971,24,0.388110
Erdos971,25,0.381399
Erdos971,26,0.509972
Erdos971,27,0.579954
Erdos971,28,0.577515
Erdos971,29,0.587705
Erdos971,30,0.387630
Erdos971,31,0.381810
Erdos971,0,0.084942
Erdos971,1,0.076222
Erdos971,2,0.404049
Erdos971,3,0.253926
Erdos971,4,0.249235
Erdos971,5,0.480831
Erdos971,6,0.076362
Erdos971,7,0.075162
Erdos971,8,0.223825
Erdos971,9,0.329107
Erdos971,10,0.449480
Erdos971,11,0.444970
Erdos971,12,0.676595
Erdos971,13,1.022283
Erdos971,14,0.223875
Erdos971,15,0.320067
Erdos971,16,0.228665
Erdos971,17,0.344448
Erdos971,18,0.469170
Erdos971,19,0.421910
Erdos971,20,0.540012
Erdos971,21,0.621254
Erdos971,22,0.425600
Erdos971,23,0.841778
Erdos971,24,0.390638
Erdos971,25,0.383368
Erdos971,26,0.511231
Erdos971,27,0.590823
Erdos971,28,0.725406
Erdos971,29,0.588583
Erdos971,30,0.388869
Erdos971,31,0.383718
polbooks,1,0.070512
polbooks,2,0.133013
polbooks,3,0.118983
polbooks,4,0.113423
polbooks,5,0.148583
polbooks,6,0.079112
polbooks,7,0.068062
polbooks,8,0.091912
polbooks,9,0.109053
polbooks,10,0.141014
polbooks,11,0.142444
polbooks,12,0.160054
polbooks,13,0.157354
polbooks,14,0.093132
polbooks,15,0.120283
polbooks,16,0.094352
polbooks,17,0.115853
polbooks,18,0.148713
polbooks,19,0.146933
polbooks,20,0.167615
polbooks,21,0.165305
polbooks,22,0.108902
polbooks,23,0.127373
polbooks,24,0.130373
polbooks,25,0.132854
polbooks,26,0.267827
polbooks,27,0.179385
polbooks,28,0.176304
polbooks,29,0.658977
polbooks,30,0.134793
polbooks,31,0.126463
polbooks,0,0.073112
polbooks,1,0.063331
polbooks,2,0.131533
polbooks,3,0.117703
polbooks,4,0.106322
polbooks,5,0.153313
polbooks,6,0.083541
polbooks,7,0.073792
polbooks,8,0.094752
polbooks,9,0.113972
polbooks,10,0.146374
polbooks,11,0.139864
polbooks,12,0.156393
polbooks,13,0.152694
polbooks,14,0.086842
polbooks,15,0.112562
polbooks,16,0.096252
polbooks,17,0.115002
polbooks,18,0.147103
polbooks,19,0.146263
polbooks,20,0.166053
polbooks,21,0.165184
polbooks,22,0.100212
polbooks,23,0.126223
polbooks,24,0.176554
polbooks,25,0.137483
polbooks,26,0.156593
polbooks,27,1.130155
polbooks,28,0.230995
polbooks,29,0.697546
polbooks,30,0.127012
polbooks,31,0.125972
bcsstk13,1,0.108062
bcsstk13,2,0.468512
bcsstk13,3,0.388040
bcsstk13,4,0.400080
bcsstk13,5,0.562084
bcsstk13,6,0.139223
bcsstk13,7,0.131903
bcsstk13,8,0.304298
bcsstk13,9,0.379299
bcsstk13,10,0.552314
bcsstk13,11,0.578495
bcsstk13,12,1.431106
bcsstk13,13,0.632286
bcsstk13,14,0.284797
bcsstk13,15,0.464462
bcsstk13,16,0.855431
bcsstk13,17,0.413990
bcsstk13,18,0.652376
bcsstk13,19,0.612235
bcsstk13,20,0.704008
bcsstk13,21,0.828801
bcsstk13,22,0.476882
bcsstk13,23,1.257692
bcsstk13,24,0.611465
bcsstk13,25,0.495402
bcsstk13,26,0.666127
bcsstk13,27,1.041636
bcsstk13,28,0.856662
bcsstk13,29,0.765059
bcsstk13,30,0.490493
bcsstk13,31,0.497773
bcsstk13,0,0.096152
bcsstk13,1,0.089842
bcsstk13,2,0.378700
bcsstk13,3,0.318748
bcsstk13,4,0.312408
bcsstk13,5,0.457181
bcsstk13,6,0.100292
bcsstk13,7,0.092552
bcsstk13,8,0.226976
bcsstk13,9,0.288717
bcsstk13,10,0.436811
bcsstk13,11,0.452762
bcsstk13,12,1.238182
bcsstk13,13,1.045297
bcsstk13,14,0.272527
bcsstk13,15,0.311508
bcsstk13,16,0.258557
bcsstk13,17,0.336709
bcsstk13,18,0.473622
bcsstk13,19,0.490572
bcsstk13,20,0.556384
bcsstk13,21,0.550724
bcsstk13,22,0.262227
bcsstk13,23,0.344089
bcsstk13,24,0.433071
